Year,Month,District,Region,Estimated_Population,Confirmed_Malaria_Cases,Incidence_per_1000,Incidence_per_100,Rainfall_mm,Temperature_C,RH_percent,Month_Num,Rainfall_lag1,Rainfall_lag2,Cases_lag1,Cases_lag2
2021,April,Buea,Southwest,176273,614,3.49,0.35,0.23663183773816843,0.6981132075471699,0.6696832579185523,4,0.09157959434542103,0.0061462814996926865,0.14265734265734267,0.12797202797202797
2021,May,Buea,Southwest,176273,675,3.83,0.38,0.2796558082360172,0.6415094339622645,0.6877828054298645,5,0.23663183773816843,0.09157959434542103,0.25244755244755246,0.14265734265734267
2021,June,Buea,Southwest,176273,818,4.64,0.46,0.16226183159188692,0.5283018867924527,0.7194570135746603,6,0.2796558082360172,0.23663183773816843,0.2951048951048951,0.25244755244755246
2021,July,Buea,Southwest,176273,916,5.19,0.52,0.1581643105920918,0.35849056603773555,0.7556561085972855,7,0.16226183159188692,0.2796558082360172,0.3951048951048951,0.2951048951048951
2021,August,Buea,Southwest,176273,1001,5.68,0.57,0.13398893669330056,0.35849056603773555,0.7963800904977374,8,0.1581643105920918,0.16226183159188692,0.4636363636363636,0.3951048951048951
2021,September,Buea,Southwest,176273,945,5.36,0.54,0.231919688588404,0.41509433962264186,0.7149321266968327,9,0.13398893669330056,0.1581643105920918,0.523076923076923,0.4636363636363636
2021,October,Buea,Southwest,176273,893,5.06,0.51,0.1432083589428396,0.5094339622641506,0.7239819004524888,10,0.231919688588404,0.13398893669330056,0.4839160839160839,0.523076923076923
2021,November,Buea,Southwest,176273,665,3.77,0.38,0.06064331079696783,0.584905660377359,0.7194570135746603,11,0.1432083589428396,0.231919688588404,0.4475524475524475,0.4839160839160839
2021,December,Buea,Southwest,176273,493,2.8,0.28,0.05429215324728539,0.6981132075471699,0.4932126696832575,12,0.06064331079696783,0.1432083589428396,0.28811188811188815,0.4475524475524475
2022,January,Buea,Southwest,180680,492,2.73,0.27,0.014751075599262444,0.6981132075471699,0.4117647058823528,1,0.05429215324728539,0.06064331079696783,0.16783216783216784,0.28811188811188815
2022,February,Buea,Southwest,180680,434,2.4,0.24,0.007785289899610735,0.7924528301886795,0.3484162895927603,2,0.014751075599262444,0.05429215324728539,0.1671328671328671,0.16783216783216784
2022,March,Buea,Southwest,180680,479,2.65,0.27,0.043433722597828316,0.8301886792452828,0.4615384615384617,3,0.007785289899610735,0.014751075599262444,0.12657342657342655,0.1671328671328671
2022,April,Buea,Southwest,180680,587,3.25,0.32,0.1257938946937103,0.6981132075471699,0.5791855203619911,4,0.043433722597828316,0.007785289899610735,0.15804195804195806,0.12657342657342655
2022,May,Buea,Southwest,180680,750,4.15,0.42,0.1356279450932186,0.6415094339622645,0.6606334841628958,5,0.1257938946937103,0.043433722597828316,0.23356643356643356,0.15804195804195806
2022,June,Buea,Southwest,180680,906,5.01,0.5,0.15509116984224544,0.43396226415094397,0.7556561085972855,6,0.1356279450932186,0.1257938946937103,0.3475524475524475,0.23356643356643356
2022,July,Buea,Southwest,180680,943,5.22,0.52,0.27760704773611966,0.2830188679245289,0.7963800904977374,7,0.15509116984224544,0.1356279450932186,0.45664335664335665,0.3475524475524475
2022,August,Buea,Southwest,180680,1083,5.99,0.6,0.26019258348699037,0.2641509433962259,0.8280542986425337,8,0.27760704773611966,0.15509116984224544,0.4825174825174825,0.45664335664335665
